variable_1,variable_2,correlacion,abs_correlacion
barrio_is_null,barrio_norm_is_null,1.0,1.0
ambientes_min_is_null,ambientes_max_is_null,1.0,1.0
dormitorios_min_is_null,dormitorios_ref_is_null,1.0,1.0
dormitorios_min_is_null,dormitorios_max_is_null,1.0,1.0
banios_max_is_null,banios_ref_is_null,1.0,1.0
banios_min_is_null,banios_ref_is_null,1.0,1.0
banios_min_is_null,banios_max_is_null,1.0,1.0
ambientes_max_is_null,ambientes_ref_is_null,1.0,1.0
ambientes_max_is_null,es_rango_ambientes_is_null,1.0,1.0
ambientes_min_is_null,ambientes_ref_is_null,1.0,1.0
ambientes_min_is_null,es_rango_ambientes_is_null,1.0,1.0
superficie_min_m2_is_null,precio_m2_min_is_null,1.0,1.0
dormitorios_max_is_null,dormitorios_ref_is_null,1.0,1.0
superficie_min_m2_is_null,superficie_max_m2_is_null,1.0,1.0
superficie_min_m2_is_null,tipo_superficie_is_null,1.0,1.0
superficie_min_m2_is_null,amplitud_superficie_m2_is_null,1.0,1.0
superficie_min_m2_is_null,precio_m2_max_is_null,1.0,1.0
superficie_min_m2_is_null,es_rango_superficie_is_null,1.0,1.0
superficie_max_m2_is_null,superficie_ref_m2_is_null,1.0,1.0
superficie_max_m2_is_null,precio_m2_ref_is_null,1.0,1.0
superficie_max_m2_is_null,es_rango_superficie_is_null,1.0,1.0
superficie_max_m2_is_null,amplitud_superficie_m2_is_null,1.0,1.0
superficie_max_m2_is_null,precio_m2_max_is_null,1.0,1.0
superficie_max_m2_is_null,precio_m2_min_is_null,1.0,1.0
superficie_max_m2_is_null,tipo_superficie_is_null,1.0,1.0
superficie_min_m2_is_null,superficie_ref_m2_is_null,1.0,1.0
superficie_min_m2_is_null,precio_m2_ref_is_null,1.0,1.0
precio_m2_min_is_null,precio_m2_max_is_null,1.0,1.0
precio_m2_min_is_null,amplitud_superficie_m2_is_null,1.0,1.0
precio_m2_min_is_null,es_rango_superficie_is_null,1.0,1.0
precio_m2_min_is_null,precio_m2_ref_is_null,1.0,1.0
precio_m2_min_is_null,superficie_ref_m2_is_null,1.0,1.0
precio_m2_max_is_null,amplitud_superficie_m2_is_null,1.0,1.0
precio_m2_max_is_null,es_rango_superficie_is_null,1.0,1.0
precio_m2_max_is_null,precio_m2_ref_is_null,1.0,1.0
precio_m2_max_is_null,superficie_ref_m2_is_null,1.0,1.0
tipo_superficie_is_null,precio_m2_min_is_null,1.0,1.0
tipo_superficie_is_null,precio_m2_max_is_null,1.0,1.0
tipo_superficie_is_null,amplitud_superficie_m2_is_null,1.0,1.0
tipo_superficie_is_null,es_rango_superficie_is_null,1.0,1.0
tipo_superficie_is_null,precio_m2_ref_is_null,1.0,1.0
tipo_superficie_is_null,superficie_ref_m2_is_null,1.0,1.0
precio_anterior_is_null,descuento_pct_is_null,1.0,1.0
es_rango_superficie_is_null,precio_m2_ref_is_null,1.0,1.0
amplitud_superficie_m2_is_null,es_rango_superficie_is_null,1.0,1.0
amplitud_superficie_m2_is_null,precio_m2_ref_is_null,1.0,1.0
amplitud_superficie_m2_is_null,superficie_ref_m2_is_null,1.0,1.0
es_rango_ambientes_is_null,ambientes_ref_is_null,1.0,1.0
es_rango_superficie_is_null,superficie_ref_m2_is_null,1.0,1.0
precio_m2_ref_is_null,superficie_ref_m2_is_null,1.0,1.0
completitud_pct,inmobiliaria_is_null,-0.7891126442973564,0.7891126442973564
cantidad_atributos,es_rango_ambientes_is_null,-0.6937618389379208,0.6937618389379208
cantidad_atributos,ambientes_max_is_null,-0.6937618389379208,0.6937618389379208
cantidad_atributos,ambientes_min_is_null,-0.6937618389379208,0.6937618389379208
cantidad_atributos,ambientes_ref_is_null,-0.6937618389379208,0.6937618389379208
descuento_pct,comuna_is_null,-0.6841921239602552,0.6841921239602552
cantidad_atributos,banios_min_is_null,-0.6667183339398668,0.6667183339398668
cantidad_atributos,banios_ref_is_null,-0.6667183339398668,0.6667183339398668
cantidad_atributos,banios_max_is_null,-0.6667183339398668,0.6667183339398668
